Label;NPC;Family Name;Given Name;Rank;SDMSID;Event Code
Men's 100 m Backstroke S12;UKR;Klippert;Sergii;2;6792;SWMBA112010000
Men's 100 m Backstroke S13;BLR;Boki;Ihar;1;7861;SWMBA113010000
Men's 100 m Backstroke S13;UKR;Denysenko;Iaroslav;2;19525;SWMBA113010000
Men's 100 m Backstroke S14;RUS;Emeliantsev;Viacheslav;1;26824;SWMBA114010000
Men's 100 m Backstroke S14;KOR;Lee;Inkook;2;16034;SWMBA114010000
Men's 50 m Breaststroke SB2;THA;Doungkaew;Somchai;1;3522;SWMBR002021000
Men's 50 m Breaststroke SB2;MEX;Castorena;Arnulfo;2;3520;SWMBR002021000
Men's 50 m Breaststroke SB3;ESP;Luque;Miguel;1;3694;SWMBR003011000
Men's 50 m Breaststroke SB3;JPN;Suzuki;Takayuki;2;3713;SWMBR003011000
Men's 100 m Breaststroke SB4;BRA;Dias;Daniel;1;3761;SWMBR104011000
Men's 100 m Breaststroke SB4;GRE;Tsapatakis;Antonios;2;8873;SWMBR104011000
Men's 100 m Breaststroke SB5;RUS;Luchkin;Iurii;1;19404;SWMBR105011000
Men's 100 m Breaststroke SB5;SWE;Forsman;Karl;2;19267;SWMBR105011000
Men's 100 m Breaststroke SB6;UKR;Bohodayko;Yevheniy;1;8935;SWMBR106011000
Men's 100 m Breaststroke SB6;COL;Crispin;Nelson;2;15020;SWMBR106011000
Men's 100 m Breaststroke SB7;COL;Serrano Zarate;Carlos;1;21432;SWMBR107011000
Men's 100 m Breaststroke SB7;AUS;Cochrane;Blake;2;4997;SWMBR107011000
Men's 100 m Breaststroke SB8;RUS;Kalina;Andrei;1;5617;SWMBR108011000
Men's 100 m Breaststroke SB8;ESP;Salguero Galisteo;Oscar;2;23006;SWMBR108011000
Men's 100 m Breaststroke SB9;RSA;Paul;Kevin;1;6390;SWMBR109011000
Men's 100 m Breaststroke SB9;RUS;Poltavtsev;Pavel;2;7707;SWMBR109011000
Men's 100 m Breaststroke SB11;JPN;Kimura;Keiichi;1;6597;SWMBR111011000
Men's 100 m Breaststroke SB11;USA;Drake;Tharon;2;6566;SWMBR111011000
Men's 100 m Breaststroke SB12;UKR;Fedyna;Oleksii;1;6937;SWMBR112011000
Men's 100 m Breaststroke SB12;AZE;Salei;Dzmitry;2;7020;SWMBR112011000
Men's 100 m Breaststroke SB13;BLR;Izotau;Uladzimir;1;6967;SWMBR113011000
Men's 100 m Breaststroke SB13;BLR;Boki;Ihar;2;7861;SWMBR113011000
Men's 100 m Breaststroke SB14;NED;Evers;Marc;1;8497;SWMBR114011000
Men's 100 m Breaststroke SB14;JPN;Tanaka;Yasuhiro;2;10959;SWMBR114011000
Men's 100 m Breaststroke SB14;GBR;Quin;Scott;2;15273;SWMBR114011000
Men's 50 m Butterfly S5;BRA;Dias;Daniel;1;3761;SWMBU005050000
Men's 50 m Butterfly S5;USA;Perkins;Roy;2;3849;SWMBU005050000
Men's 50 m Butterfly S6;CHN;Zheng;Tao;1;11935;SWMBU006010000
Men's 50 m Butterfly S6;CHN;Xu;Qing;2;4452;SWMBU006010000
Men's 50 m Butterfly S7;CHN;Pan;Shiyun;1;11936;SWMBU007010000
