IPC Sport Data Management System;;;;;;;;;;;;;;
IPC Swimming Rankings - Rio 2016 Paralympic Games;;;;;;;;;;;;;;
User;;Guest;;;;;;;;;;;;
Timestamp;;Tue, 11 Aug 2015 12:47:49 +0200;;;;;;;;;;;;
Period Start;;15.10.2014;;;;;;;;;;;;
Period End;;14.8.2016;;;;;;;;;;;;
Course;;Long Course;;;;;;;;;;;;
;;;;;;;;;;;;;;
Event Code;Gender;Event;Rank;SDMS ID;Family Name;Given Name;NPC;Birth;Result;Time (ms);Qualification;Date;City;Country
SWMF5005010000;M;Men's 50 m Freestyle S5;17;3917;Eroglu;Beytullah;TUR;1995;00:40.11;40110;MET;28.3.2015;Naousa;Greece
SWMF5005010000;M;Men's 50 m Freestyle S5;18;10929;Longhorne;Lyndon;GBR;1995;00:41.72;41720;MET;27.6.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;1;15020;Crispin;Nelson;COL;1992;00:29.66;29660;MQS;23.11.2014;Medellin;Colombia
SWMF5006010000;M;Men's 50 m Freestyle S6;2;4452;Xu;Qing;CHN;1992;00:29.83;29830;MQS;22.10.2014;Incheon;South Korea
SWMF5006010000;M;Men's 50 m Freestyle S6;3;11935;Zheng;Tao;CHN;1990;00:30.56;30560;MQS;16.7.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;4;16751;Perez Escalona;Lorenzo;CUB;1986;00:30.74;30740;MQS;24.4.2015;Sao Paulo;Brazil
SWMF5006010000;M;Men's 50 m Freestyle S6;5;4600;Komarov;Oleksandr;UKR;1988;00:32.10;32100;MQS;16.7.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;6;4276;Christakis;Panagiotis;GRE;1994;00:32.18;32180;MQS;28.3.2015;Naousa;Greece
SWMF5006010000;M;Men's 50 m Freestyle S6;7;4419;Kindred;Sascha;GBR;1977;00:32.30;32300;MQS;18.4.2015;Berlin;Germany
SWMF5006010000;M;Men's 50 m Freestyle S6;8;4307;Iwanow;Sebastian;GER;1985;00:32.32;32320;MQS;27.3.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;9;18675;Sfaltos;Georgios;GRE;1983;00:32.51;32510;MQS;16.5.2015;Athens;Greece
SWMF5006010000;M;Men's 50 m Freestyle S6;10;9079;Glock;Talisson;BRA;1995;00:32.75;32750;MQS;15.11.2014;Fortaleza;Brazil
SWMF5006010000;M;Men's 50 m Freestyle S6;11;4438;Semenenko;Iaroslav;UKR;1987;00:32.81;32810;MQS;16.7.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;12;17395;Klyagin;Sergey;RUS;1998;00:32.87;32870;MQS;16.7.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;13;26666;Granichka;Andrei;RUS;1997;00:33.02;33020;MQS;5.4.2015;Ramenskoe;Russia
SWMF5006010000;M;Men's 50 m Freestyle S6;14;4028;Castillo;Rafael;USA;1986;00:33.16;33160;MQS;9.5.2015;Cincinnati, OH;United States of America
SWMF5006010000;M;Men's 50 m Freestyle S6;15;4046;de Lima;Adriano;BRA;1973;00:33.19;33190;MQS;15.11.2014;Fortaleza;Brazil
SWMF5006010000;M;Men's 50 m Freestyle S6;16;14964;Bocciardo;Francesco;ITA;1994;00:33.22;33220;MQS;18.4.2015;Berlin;Germany
SWMF5006010000;M;Men's 50 m Freestyle S6;17;26364;Shattuck;Zach;USA;1996;00:33.25;33250;MQS;21.3.2015;Toronto, Ont.;Canada
SWMF5006010000;M;Men's 50 m Freestyle S6;18;22595;Lenskii;Viacheslav;RUS;1992;00:33.30;33300;MET;5.4.2015;Ramenskoe;Russia
SWMF5006010000;M;Men's 50 m Freestyle S6;19;4158;Ngaimin;Agus;INA;1984;00:33.47;33470;MET;16.7.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;20;4339;Oyama;Kyosuke;JPN;1987;00:33.82;33820;MET;1.3.2015;Shizuoka;Japan
SWMF5006010000;M;Men's 50 m Freestyle S6;21;4135;McDonald;Darragh;IRL;1994;00:34.01;34010;MET;16.7.2015;Glasgow;Great Britain
SWMF5006010000;M;Men's 50 m Freestyle S6;22;4150;Naing;Sit Aung;MYA;1986;00:34.29;34290;MET;22.10.2014;Incheon;South Korea
SWMF5007010000;M;Men's 50 m Freestyle S7;1;10594;Sukharev;Sergey;RUS;1991;00:28.32;28320;MQS;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;2;4883;Walker;Matthew;GBR;1978;00:28.36;28360;MQS;27.3.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;3;8935;Bohodayko;Yevheniy;UKR;1994;00:28.40;28400;MQS;2.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5007010000;M;Men's 50 m Freestyle S7;4;5304;Levy;Matthew;AUS;1987;00:28.47;28470;MQS;4.4.2015;Sydney;Australia
SWMF5007010000;M;Men's 50 m Freestyle S7;5;11936;Pan;Shiyun;CHN;1989;00:28.72;28720;MQS;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;6;7257;Pollap;Tobias;GER;1986;00:29.17;29170;MQS;18.4.2015;Berlin;Germany
SWMF5007010000;M;Men's 50 m Freestyle S7;7;21432;Serrano Zarate;Carlos;COL;1998;00:29.84;29840;MQS;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;8;17277;Gladkov;Andrei;RUS;1997;00:30.10;30100;MQS;5.4.2015;Ramenskoe;Russia
SWMF5007010000;M;Men's 50 m Freestyle S7;9;17954;Taras;Valerio;ITA;1988;00:30.24;30240;MQS;18.4.2015;Berlin;Germany
SWMF5007010000;M;Men's 50 m Freestyle S7;10;14781;Kvasnytsia;Marian;UKR;1992;00:30.30;30300;MET;2.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5007010000;M;Men's 50 m Freestyle S7;11;14539;Wang;Jingang;CHN;1991;00:30.33;30330;MET;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;12;8948;Yang;Huaqiang;CHN;1992;00:30.90;30900;MET;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;13;26891;Jones;Michael;GBR;1994;00:31.22;31220;MET;27.3.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;14;4820;Lavalliere;Jean-Michel;CAN;1990;00:31.36;31360;MET;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;15;20039;Afonso Dominguez;Jose Faustino;ESP;1991;00:31.65;31650;MET;19.7.2015;Glasgow;Great Britain
SWMF5007010000;M;Men's 50 m Freestyle S7;16;14949;Pereira;Italo;BRA;1995;00:32.32;32320;MET;15.11.2014;Fortaleza;Brazil
SWMF5007010000;M;Men's 50 m Freestyle S7;17;4776;Ejima;Daisuke;JPN;1986;00:32.35;32350;MET;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;1;14876;Tarasov;Denis;RUS;1993;00:25.34;25340;MQS;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;2;14533;Wang;Yinan;CHN;1989;00:26.17;26170;MQS;23.10.2014;Incheon;South Korea
SWMF5008010000;M;Men's 50 m Freestyle S8;3;5309;Lisenkov;Konstantin;RUS;1989;00:27.31;27310;MQS;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;4;17226;Hrynenko;Bohdan;UKR;1995;00:27.44;27440;MQS;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;5;4997;Cochrane;Blake;AUS;1991;00:27.55;27550;MQS;18.4.2015;Berlin;Germany
SWMF5008010000;M;Men's 50 m Freestyle S8;6;8045;Craig;Josef;GBR;1997;00:27.59;27590;MQS;2.8.2015;Sheffield;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;7;8127;Rozoy;Charles;FRA;1987;00:27.72;27720;MQS;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;8;14510;Song;Maodang;CHN;1993;00:27.95;27950;MQS;23.10.2014;Incheon;South Korea
SWMF5008010000;M;Men's 50 m Freestyle S8;9;9175;Andrade Guillen;Luis Armando;MEX;1995;00:28.15;28150;MQS;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;10;5696;McAllister;Zack;CAN;1993;00:28.26;28260;MQS;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;11;18264;Griswold;Robert;USA;1996;00:28.95;28950;MET;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;12;5327;Mortensen;Niels Korfitz;DEN;1995;00:29.08;29080;MET;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;13;4970;Austin;Evan;USA;1992;00:29.41;29410;MET;21.3.2015;Toronto, Ont.;Canada
SWMF5008010000;M;Men's 50 m Freestyle S8;14;5338;Onea;Andreas;AUT;1992;00:29.77;29770;MET;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;15;5168;Schmidtke;Torben;GER;1989;00:29.95;29950;MET;19.7.2015;Glasgow;Great Britain
SWMF5008010000;M;Men's 50 m Freestyle S8;16;11279;Carreira;David;POR;1990;00:30.32;30320;MET;19.7.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;1;15328;Crothers;Rowan;AUS;1997;00:25.28;25280;MQS;17.12.2014;Brisbane;Australia
SWMF5009010000;M;Men's 50 m Freestyle S9;2;5439;Mari Alcaraz;Jose Antonio;ESP;1988;00:26.25;26250;MQS;27.3.2015;Glasgow;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;3=;14875;Skaliukh;Alexander;RUS;1994;00:26.36;26360;MQS;5.4.2015;Ramenskoe;Russia
SWMF5009010000;M;Men's 50 m Freestyle S9;3=;5980;Lahteenmaki;Leo;FIN;1991;00:26.36;26360;MQS;25.4.2015;Vaasa;Finland
SWMF5009010000;M;Men's 50 m Freestyle S9;5;7786;Wylie;Matthew;GBR;1996;00:26.40;26400;MQS;2.8.2015;Sheffield;Great Britain
SWMF5009010000;M;Men's 50 m Freestyle S9;6;5890;Yamada;Takuro;JPN;1991;00:26.47;26470;MQS;19.10.2014;Incheon;South Korea
SWMF5009010000;M;Men's 50 m Freestyle S9;7;19421;Disken;Timothy;AUS;1996;00:26.53;26530;MQS;4.4.2015;Sydney;Australia
SWMF5009010000;M;Men's 50 m Freestyle S9;8;6480;Toth;Tamas;HUN;1992;00:26.55;26550;MQS;18.4.2015;Berlin;Germany
